ClassCode,ClassLabel,ClassDescription,ConceptNet,Hierarchy,ClassWord,Hypernym1,Hypernym2
26,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/mx_state/capital""",Mexico,location
27,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/province/capital""",state,location
28,nationality,"""a legal identification of a person in international law, establishing the person as a subject, a national, of a sovereign state""",nationality,group,"""/people/person/nationality""",person,group
29,company,"""legal entity representing an association of people, whether natural, legal or a mixture of both, with a specific objective""",company,group,"""/business/person/company""",person,group
30,shopping,"""have small complex of shops""",shopping_centers_owned,own,"""/business/shopping_center_owner/shopping_centers_owned""",location,own
31,advisor,"""person with more and deeper knowledge in a specific area""",advisors,person,"""/business/company/advisors""",business,person
32,owner,"""one who owns something""",owner,person,"""/business/shopping_center/owner""",person,location
33,ethnicity,"""the fact or state of belonging to a social group that has a common national or cultural tradition""",ethnicity,quality,"""/people/person/ethnicity""",person,quality
34,burial,"""location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately""",place_of_burial,location,"""/people/deceased_person/place_of_burial""",person,location
35,distribution,"""geographical area in which a species can be found""",geographic_distribution,place,"""/people/ethnicity/geographic_distribution""",person,place
36,live,"""community of any size, in which people live""",place_lived,location,"""/people/person/place_lived""",person,location
37,shareholder,"""individual or organization that owns part of a corporation through shares of its stock""",major_shareholders,investor,"""/business/company/major_shareholders""",business,investor
38,location,"""location of the object, structure or event""",location,location,"""/broadcast/producer/location""",producer,location
39,location,"""location of the object, structure or event""",location,location,"""/broadcast/content/location""",person,location
40,company,"""company that owns enough voting stock in another firm to control management and operations""",parent_company,group,"""/business/business_location/parent_company""",business,location
41,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/jp_prefecture/capital""",Japan,location
42,location,"""location of the object, structure or event""",featured_film_locations,location,"""/film/film/featured_film_locations""",artifact,location
43,inter,"""ritual act of placing a dead person into the ground""",interred_here,interment,"""/people/place_of_interment/interred_here""",person,location
44,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/de_state/capital""",Germany,location
45,profession,"""occupation requiring specialized training""",profession,occupation,"""/people/person/profession""",person,occupation
46,location,"""location of the object, structure or event""",locations,location,"""/business/company/locations""",business,location
47,capital,"""primary governing city of a top-level (country) or first-level subdivision (country, state, province, etc) political entity""",capital,location,"""/location/country/capital""",location,location
48,contain,"""to have within""",contains,be,"""/location/location/contains""",location,location
49,division,"""generic names for geographical areas into which a particular, independent sovereign state (country) is divided""",administrative_divisions,operation,"""/location/country/administrative_divisions""",location,location
50,children,"""human between the stages of birth and puberty""",children,person,"""/people/person/children""",person,person
51,film,"""features in films""",featured_in_films,artifact,"""/film/film_location/featured_in_films""",artifact,location
52,location,"""location of the object, structure or event""",location,location,"""/film/film_festival/location""",time,location
