ClassCode,ClassLabel,ClassDescription,ConceptNet,Hierarchy,ClassWord,Hypernym1,Hypernym2,count,label
P449,broadcaster,"""network(s) or service(s) that originally broadcasted a radio or television program""",original broadcaster,device,"""original broadcaster""",item,device,1000,46
P461,opposite,"""item that is the opposite of this item""",opposite of,different,"""opposite of""",item,item,1000,47
P463,member,"""organization, club or musical group to which the subject belongs""",member of,person,"""member of""",person,organization,1000,48
P47,border,"""countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.""",shares border with,artifact,"""shares border with""",organization,organization,1000,49
P495,origin,"""country of manufacture, production, or growth where an article or product comes from""",country of origin,location,"""country of origin""",location,location,1000,50
P50,author,"""main creator(s) of a written work (use on works, not humans)""",author,person,"""author""",person,art,1000,51
P530,diplomatic,"""diplomatic relations of the country""",diplomatic relation,act,"""diplomatic relation""",act,location,1000,52
P54,sport,"""sports teams or clubs that the subject represents or represented""",member of sports team,person,"""member of sports team""",person,group,1000,53
P569,birth,"""date on which the subject was born""",date of birth,time,"""date of birth""",time,person,1000,54
P57,director,"""person who leads a particular area of a company or organization""",director,person,"""director""",person,organization,1000,55
P570,death,"""date on which the subject died""",date of death,time,"""date of death""",person,time,1000,56
P571,inception,"""date or point in time when the subject came into existence as defined""",inception,film,"""inception""",time,item,1000,57
P577,publication,"""date or point in time when a work was first published or released""",publication date,time,"""publication date""",time,work,1000,58
P607,conflict,"""battles, wars or other military engagements in which the person or item participated""",conflict,act,"""conflict""",person,person,1000,59
P641,sport,"""sport that the subject participates or participated in or is associated with""",sport,act,"""sport""",item,person,1000,60
P674,characters,"""characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)""",characters,act,"""characters""",act,item,1000,61
P69,educate,"""educational institution attended by subject""",educated at,activity,"""educated at""",person,group,1000,62
P706,physical,"""located on the specified (geo)physical feature""",located in/on physical feature,location,"""located in/on physical feature""",location,location,1000,63
P800,notable,"""notable scientific, artistic or literary work, or other work of significance among subject's works""",notable work,act,"""notable work""",artifact,artifact,1000,64
P86,composer,"""musician who is an author of music in any form; person who creates music, either by musical notation or oral tradition""",composer,person,"""composer""",person,act,1000,65
P737,influence,"""this person, idea, etc. is informed by that other person, idea, etc.""",influence by,act,"""influence by""",act,act,982,66
P991,candidate,"""person(s) elected after the election""",successful candidate,person,"""successful candidate""",person,act,966,67
P1408,license,"""place that a radio/TV station is licensed/required to broadcast to""",licensed to broadcast to,location,"""licensed to broadcast to""",art,location,965,68
P355,subsidiary,"""company that is completely or partly owned and partly or wholly controlled by another company""",subsidiary,organization,"""subsidiary""",organization,organization,955,69
P58,screenwriter,"""writer who writes for TV, films, radio, comics or games""",screenwriter,person,"""screenwriter""",person,artifact,951,70
P364,language,"""language in which a film or a performance work was originally created.""",original language of film or TV show,cognition,"""original language of film or TV show""",congition,art,918,71
P376,astronomical,"""astronomical body on which features or places are situated""",located on astronomical body,location,"""located on astronomical body""",body,feature,913,72
P1412,language,"""language(s) that a person or a people speaks, writes or signs, including the native language(s)""","languages spoken, written or signed",cognition,"""languages spoken, written or signed""",cognition,person,897,73
P466,occupant,"""person or organization occupying property""",occupant,act,"""occupant""",person,act,862,74
P144,base,"""the work(s) used as the basis for subject item""",based on,location,"""based on""",work,item,802,75
P53,family,"""family, including dynasty and nobility houses.""",family,group,"""family""",group,person,778,76
P425,field,"""activity corresponding to this occupation or profession""",field of this occupation,group,"""field of this occupation""",act,act,737,77
P162,producer,"""person(s) who produced the film, musical work, theatrical production, etc.""",producer,person,"""producer""",person,art,718,78
P101,field,"""particular area of activity in industry and science""",field of work,group,"""field of work""",act,group,682,79
P937,work,"""location where persons or organisations were actively participating in employment, business or other work""",work location,location,"""work location""",person,location,677,80
P135,movement,"""literary, artistic, scientific or philosophical movement or scene associated with this person or work""",movement,act,"""movement""",person,act,623,81
P734,family,"""part of full name of person""",family name,name,"""family name""",name,person,621,82
P802,student,"""notable student(s) of the subject individual""",student,person,"""student""",person,group,616,83
P921,subject,"""primary topic of a work""",main subject,thing,"""main subject""",thing,thing,613,84
P1889,different,"""item that is different from another item, with which it is often confused""",different from,different,"""different from""",item,item,595,85
P59,constellation,"""the area of the celestial sphere of which the subject is a part (from a scientific standpoint, not an astrological one)""",constellation,object,"""constellation""",object,object,594,86
P1589,point,"""point with lowest elevation in the country, region, city or area""",lowest point,location,"""lowest point""",location,location,577,87
P735,name,"""first name or another given name of this person; values used with the property shouldn't link disambiguations nor family names.""",given name,name,"""given name""",name,person,552,88
P140,religion,"""set of beliefs, practices and traditions for a group or community""",religion,belief,"""religion""",person,belief,530,89
P1346,winner,"""one who wins""",winner,person,"""winner""",person,act,516,90
P460,same,"""this item is said to be the same as that item, but it's uncertain or disputed""",said to be the same as,same,"""said to be the same as""",item,item,501,91
P272,company,"""company that produced this film, audio or performing arts work""",production company,organization,"""production company""",organization,item,500,92
P1552,quality,"""the entity has an inherent or distinguishing non-material characteristic""",has quality,property,"""has quality""",item,item,483,93
P452,industry,"""specific industry of company or organization""",industry,group,"""industry""",group,group,476,94
P186,material,"""material the subject or the object is made of or derived from""",made from material,artifact,"""made from material""",subject,artifact,455,95
P1269,facet,"""topic of which this item is an aspect, item that offers a broader perspective on the same topic""",facet of ,shape,"""facet of """,item,area,437,96
P2416,discipline,"""discipline an athlete competed in within a sport""",sports discipline competed in,act,"""sports discipline competed in""",person,act,430,97
P81,connect,"""railway line(s) subject is directly connected to""",connecting line,connection,"""railway line(s) subject is directly connected to""",line,line,427,98
P1435,heritage,"""heritage designation of a cultural or natural site""",heritage designation,act,"""heritage designation""",location,location,418,99
P840,narrative,"""the narrative of the work is set in this location""",narrative location,location,"""narrative location""",work,location,418,100
P2389,organization,"""organization which is directed by this office""",organization directed by the office or position,organization,"""organization directed by the office or position""",group,organization,399,101
P676,lyrics,"""author of song lyrics""",lyrics by,person,"""lyrics by""",person,music,386,102
P360,list,"""common element between all listed items""",is a list of,database,"""is a list of""",element,element,383,103
P412,voice,"""person's voice type. expected values: soprano, mezzo-soprano, contralto, countertenor, tenor, baritone, bass (and derivatives)""",voice type,act,"""voice type""",person,act,383,104
P366,use,"""main use of the subject (includes current and former usage)""",use,act,"""use""",person,act,365,105
P647,draft,"""which team the player was drafted by""",drafted by,write,"""drafted by""",person,group,365,106
P1365,replace,"""person, state or item replaced""",replaces,creation,"""replaces""",item,item,352,107
P1056,product,"""material or product produced by a government agency, business, industry, facility, or process""",product or material produced,artifact,"""product or material produced""",artifact,group,346,108
P397,astronomical,"""major astronomical body the item belongs to""",parent astronomical body,group,"""parent astronomical body""",item,group,346,109
P25,mother,"""female parent""",mother,person,"""mother""",person,person,345,110
P551,residence,"""the place where the person is or has been, resident""",residence,location,"""residence""",person,location,326,111
P1080,universe,"""subject's fictional entity is in the object narrative. """,from narrative universe,message,"""from narrative universe""",subject,object,302,112
